charging_station_name,city,state,zipcode,street_address
"Ventura, CA (coming soon)",CA,No zipcode,No address given,Ventura
"Visalia, CA (coming soon)",CA,No zipcode,No address given,Visalia
"Vista, CA (coming soon)",CA,No zipcode,No address given,Vista
"Walnut Creek, CA Supercharger",CA,94596,1153 Locust Street,Walnut Creek
"Watsonville, CA Supercharger",CA,95076,1415 Main Street,Watsonville
"Webster, TX Supercharger",CA,77598,21361 Gulf Freeway,Webster
"West Covina, CA (coming soon)",CA,No zipcode,No address given,West Covina
"Westminster, CA Supercharger",CA,92683,1025 Westminster Mall,Westminster
"Westwood, CA (coming soon)",CA,No zipcode,No address given,Westwood
"Williams, CA Supercharger",CA,95987,464 6th Street,Williams
"Woodland, CA (coming soon)",CA,No zipcode,No address given,Woodland
"Yermo, CA Supercharger",CA,92398,36017 Calico Road,Yermo
"Yuba City, CA Supercharger",CA,95993,1475 Tharp Road,Yuba City
"Alamosa, CO (coming soon)",CO,No zipcode,No address given,Alamosa
"Aspen, CO Supercharger",CO,81611-2506,38750 Highway 82,Aspen
"Boulder, CO Supercharger",CO,80301,1710 29th Street,Boulder
"Brighton, CO Supercharger",CO,80603,5112 East Bromley Lane,Brighton
Brush Supercharger,CO,80723-2902,1156  CO-71,Brush
"Centennial, CO Supercharger",CO,80112,9555 East County Line Road,Centennial
Colorado Springs Supercharger,CO,80903,215 North Cascade Avenue,Colorado Springs
"Conifer, CO - Conifer Road Supercharger",CO,80433-9078,25637 Conifer Road,Conifer
"Denver, CO (coming soon)",CO,No zipcode,No address given,Denver
"Denver, CO - Cherry Creek (coming soon)",CO,No zipcode,No address given,Denver
"Denver, CO Supercharger",CO,80239,4310 Airport Way,Denver
"Estes Park, CO Supercharger",CO,80517-9665,333 Wonderview Avenue,Estes Park
"Glenwood Springs, CO Supercharger",CO,81601,125 Wulfsohn Rd,Glenwood Springs
"Grand Junction, CO Supercharger",CO,81505,2424 U.S-6,Grand Junction
"Idaho Springs, CO Supercharger",CO,80452,1319 Miner Street,Idaho Springs
"Kremmling, CO - Park Avenue Supercharger",CO,80459,605 Park Avenue,Kremmling
"Lakewood, CO Supercharger",CO,80401,14500 West Colfax Avenue,Lakewood
"Limon, CO Supercharger",CO,80828,2221 6th St.,Limon
"Lone Tree, CO - Park Meadows Center Drive",CO,80124-5128,8401 Park Meadows Center Drive,Lone Tree
Loveland Supercharger,CO,80538-9347,4705 Clydesdale Parkway,Loveland
"Montrose, CO (coming soon)",CO,No zipcode,No address given,Montrose
"Poncha Springs, CO Superchargers",CO,81242-0000,6250 US Highway 285,Poncha Springs
"Silverthorne, CO Supercharger",CO,80498,309 Rainbow Dr,Silverthorne
"Steamboat Springs, CO (coming soon)",CO,No zipcode,No address given,Steamboat Springs
"Superior, CO - South Marshall Road Supercharging",CO,80027,2 South Marshall Road,Superior
"Telluride, CO (coming soon)",CO,No zipcode,No address given,Telluride
"Thornton, CO Supercharger",CO,80233,237 East 120th Avenue,Thornton
"Thornton, CO Supercharger #2",CO,80233,237 East 120th Avenue,Thornton
Trinidad Supercharger,CO,81082,9960 Santa Fe Trail,Trinidad
"Walsenburg, CO (coming soon)",CO,No zipcode,No address given,Walsenburg
"Wheat Ridge, CO (coming soon)",CO,No zipcode,No address given,Wheat Ridge
"Danbury, CT Supercharger",No state,06810-7422,7 Backus Ave,Danbury
"Darien, CT North Supercharger",CT,6820,I-95 North after exit 12,Darien
"Darien, CT South Supercharger",CT,6820,I-95 South after exit 10,Darien
"Fairfield, CT - Northbound Supercharger",CT,06824,165 Round Hill Road,Fairfield
"Fairfield, CT - Southbound Supercharger",CT,06824,267 Round Hill Road,Fairfield
"Greenwich, CT North Supercharger",CT,6830,3000 Merritt Parkway,Greenwich
"Greenwich, CT South Supercharger",CT,6830,2000 Merritt Parkway,Greenwich
"Hamden, CT (coming soon)",CT,No zipcode,No address given,Hamden
"Hartford, CT - Leibert Road Supercharger",CT,06120,165 Leibert Road,Hartford
"Hartford, CT Supercharger",CT,06824-2308,777 Main Street,Hartford
"Lisbon, CT (coming soon)",CT,No zipcode,No address given,Lisbon
"Madison, CT - Northbound Supercharger",CT,06443,1-95 North Avenue,Madison
"Madison, CT - Southbound Supercharger",CT,06443,1-95 South Street,Madison
"Manchester, CT Supercharger",CT,06042-8764,1470 Pleasant Valley Road,Manchester
"Meriden, CT Supercharger",CT,06450,903 East Main Street,Meriden
Milford - Boston Post Road Supercharger,CT,6460,1201 Boston Post Road,Milford
"Milford, CT North Supercharger",CT,6460,Milford Travel Plaza,Milford
"Milford, CT South Supercharger",CT,6460,Travel Plaza,Milford
"New London, CT Supercharger",CT,06320,351 North Frontage Road,New London
"North Canaan, CT Supercharger",CT,06018,11 East Main Street,North Canaan
"North Stamford, CT Supercharger",CT,06905-1215,1145 High Ridge Rd,North Stamford
"Stamford, CT Supercharger",CT,06905,2233 Summer Street,Stamford
"Torrington, CT (coming soon)",CT,No zipcode,No address given,Torrington
"Trumbull, CT (coming soon)",CT,No zipcode,No address given,Trumbull
"Waterbury, CT Supercharger",CT,6705,160 Kukas Lane,Waterbury
West Hartford Supercharger,CT,6110,1445 New Britain Ave.,West Hartford
"Claymont, DE - Philadelphia Pike Supercharger",DE,19703,2621 Philadelphia Pike,Claymont
